city,seg_from_km,seg_to_km,elev_gain_m,elev_net_m,n,mean_pace,mean_delta_pace,htw_rate
Barcelona,10.0,15.0,30.0,25.3,52756,5.279344845452019,0.00850335944994285,0.24715672151034954
Barcelona,15.0,20.0,5.0,-16.6,52756,5.287774218414335,0.0010384276237691066,0.24715672151034954
Barcelona,20.0,25.0,13.5,-18.4,52756,5.374299605732049,0.01548745108261113,0.24715672151034954
Barcelona,25.0,30.0,4.1,-5.2,52756,5.647515795991609,0.048421864589429826,0.24715672151034954
Barcelona,30.0,35.0,20.4,-0.1,52756,5.866444259104809,0.038775724870428664,0.24715672151034954
Barcelona,35.0,40.0,8.0,6.5,52756,6.128702454065256,0.046133303540270405,0.24715672151034954
Barcelona,40.0,42.195,17.6,9.9,52756,5.41052724328556,-0.10150063128680892,0.24715672151034954
Berlin,0.0,5.0,4.7,-0.5,627258,5.559314923046019,,0.23708585621865325
Berlin,5.0,10.0,6.3,6.6,627258,5.628909204824809,0.011102110397112465,0.23708585621865325
Berlin,10.0,15.0,11.0,-4.4,627258,5.617758476841533,-0.0017529459439459166,0.23708585621865325
Berlin,15.0,20.0,1.2,-1.8,627258,5.717644988186679,0.01673607283693443,0.23708585621865325
Berlin,20.0,25.0,15.4,11.3,627258,5.898161134121313,0.030094704769537132,0.23708585621865325
Berlin,25.0,30.0,10.4,-0.6,627258,6.117942919819276,0.035721547635385285,0.23708585621865325
Berlin,30.0,35.0,6.1,-8.2,627258,6.240185989390862,0.02099341203808806,0.23708585621865325
Berlin,35.0,40.0,18.0,2.9,627258,6.549639983334875,0.05068783177228935,0.23708585621865325
Berlin,40.0,42.195,0.0,-4.7,627258,6.23580167081858,-0.04123630044310703,0.23708585621865325
Boston,0.0,5.0,25.3,-72.5,133508,4.9763958214738695,,0.18601881535188902
Boston,5.0,10.0,21.2,-18.9,133508,4.9877192627657765,0.0017199620155261353,0.18601881535188902
Boston,10.0,15.0,25.5,-5.9,133508,5.040636690934875,0.009800510704421832,0.18601881535188902
Boston,15.0,20.0,33.3,4.0,133508,5.167369221320071,0.023520012767621067,0.18601881535188902
Boston,20.0,25.0,18.9,-6.7,133508,5.250167280862071,0.014712202356945175,0.18601881535188902
Boston,25.0,30.0,52.2,0.3,133508,5.547896580479572,0.054480415074682056,0.18601881535188902
Boston,30.0,35.0,49.6,1.1,133508,5.757815436777821,0.037861424874305945,0.18601881535188902
Boston,35.0,40.0,14.8,-40.8,133508,5.6956296002237075,-0.0079378531824338,0.18601881535188902
Boston,40.0,42.195,8.3,1.4,133508,5.6002857782500834,-0.011600295325403617,0.18601881535188902
Chicago,0.0,5.0,6.4,-3.0,101853,5.735898402599825,,0.29256870195281437
Chicago,5.0,10.0,5.0,0.3,101853,5.82081159448748,0.01250998607288277,0.29256870195281437
Chicago,10.0,15.0,2.3,0.9,101853,5.747963077507126,-0.010765898150325191,0.29256870195281437
Chicago,15.0,20.0,1.7,-2.0,101853,5.90300567157243,0.024414464723339992,0.29256870195281437
Chicago,20.0,25.0,3.2,1.5,101853,6.110809041788984,0.03201102252685883,0.29256870195281437
Chicago,25.0,30.0,1.4,0.1,101853,6.3679284524429,0.04032630900660785,0.29256870195281437
Chicago,30.0,35.0,4.2,0.1,101853,6.586337008564631,0.036132090831770484,0.29256870195281437
Chicago,35.0,40.0,2.7,-2.1,101853,6.8979298269728595,0.04993089708674812,0.29256870195281437
Chicago,40.0,42.195,2.3,1.9,101853,6.458626883037273,-0.05393016498697534,0.29256870195281437
Copenhagen,0.0,5.0,1.5,-4.0,104194,5.415943464434933,,0.298472080925965
Copenhagen,5.0,10.0,5.1,-3.0,104194,5.4165586630068265,6.274194343230693e-05,0.298472080925965
Copenhagen,10.0,15.0,11.1,1.6,104194,5.432163528290177,0.003065251106997181,0.298472080925965
Copenhagen,15.0,20.0,7.3,4.5,104194,5.51431566756883,0.014226949507660862,0.298472080925965
Copenhagen,20.0,25.0,3.9,4.8,104194,5.687524969448017,0.029246840476480015,0.298472080925965
Copenhagen,25.0,30.0,1.1,-11.6,104194,5.867712888138152,0.03117625123616658,0.298472080925965
Copenhagen,30.0,35.0,8.1,2.0,104194,6.216233692279146,0.05795115464136373,0.298472080925965
Copenhagen,35.0,40.0,8.0,-0.9,104194,6.4463381448707855,0.03912625643448943,0.298472080925965
Copenhagen,40.0,42.195,5.7,6.3,104194,6.158202438477411,-0.03872175849184914,0.298472080925965
Dubai,0.0,5.0,2.0,2.7,5356,5.616509210853871,,0.48917102315160566
Dubai,5.0,10.0,5.7,2.3,5356,5.620494149863082,0.0012753295853653922,0.48917102315160566
Dubai,10.0,15.0,1.0,-5.0,5356,5.666188075678367,0.00807289375972216,0.48917102315160566
Dubai,15.0,20.0,7.0,2.5,5356,5.829071446353,0.027647036548594055,0.48917102315160566
Dubai,20.0,25.0,9.5,-2.7,5356,6.123922703510082,0.04765426977002212,0.48917102315160566
Dubai,25.0,30.0,14.2,0.9,5356,6.486095967139656,0.056882443930027386,0.48917102315160566
Dubai,30.0,35.0,8.5,3.4,5356,6.946287030121981,0.07041587486804192,0.48917102315160566
Dubai,35.0,40.0,6.3,-2.6,5356,7.211385984565596,0.04286858672515997,0.48917102315160566
Dubai,40.0,42.195,1.3,-3.6,5356,6.766614893536184,-0.05486664441465421,0.48917102315160566
Gold Coast,0.0,5.0,2.9,-3.4,31632,5.447116316809982,,0.4203970662620132
Gold Coast,5.0,10.0,16.5,5.2,31632,5.4633863387287125,0.00275737749642367,0.4203970662620132
Gold Coast,10.0,15.0,12.4,0.3,31632,5.485600973697521,0.0035969034042349223,0.4203970662620132
Gold Coast,15.0,20.0,2.4,-3.0,31632,5.585260179564997,0.01614747235455031,0.4203970662620132
Gold Coast,20.0,25.0,3.3,2.2,31632,5.75989999578486,0.027558063396114087,0.4203970662620132
Gold Coast,25.0,30.0,12.7,-6.8,31632,6.067736785533636,0.05023493425033833,0.4203970662620132
Gold Coast,30.0,35.0,5.5,1.5,31632,6.486564765638172,0.06813941654565789,0.4203970662620132
Gold Coast,35.0,40.0,3.8,-0.8,31632,6.861551171809139,0.06277486052484497,0.4203970662620132
Gold Coast,40.0,42.195,1.4,0.1,31632,6.383247177391944,-0.059859598962704944,0.4203970662620132
Hamburg,0.0,5.0,19.8,19.2,3341,4.835053377232366,,0.0721340915893445
Hamburg,5.0,10.0,1.4,-18.7,3341,4.7145335727826,-0.024475154453570524,0.0721340915893445
Hamburg,10.0,15.0,12.7,-4.7,3341,4.75339120023945,0.008727765534681912,0.0721340915893445
Hamburg,15.0,20.0,1.1,-7.2,3341,4.711627257308192,-0.008484407899078616,0.0721340915893445
Hamburg,20.0,25.0,18.4,9.1,3341,4.847163523895041,0.02877833649926091,0.0721340915893445
Hamburg,25.0,30.0,8.5,-3.7,3341,4.855962286740497,0.0020965661214038304,0.0721340915893445
Hamburg,30.0,35.0,1.7,-4.7,3341,4.928383717449865,0.015217158330210277,0.0721340915893445
Hamburg,35.0,40.0,7.5,2.3,3341,5.131246133892048,0.04077253469948305,0.0721340915893445
Hamburg,40.0,42.195,13.1,12.8,3341,5.093396804661352,-0.0060924041511235165,0.0721340915893445
Helsinki,0.0,5.0,19.4,5.0,7851,6.1043315076635665,,0.2949942682460833
Helsinki,5.0,10.0,29.5,-1.1,7851,5.800789283743049,-0.04647965926649516,0.2949942682460833
Helsinki,10.0,15.0,21.4,-4.2,7851,5.7116588120409295,-0.014983411407546419,0.2949942682460833
Helsinki,15.0,20.0,16.0,-1.4,7851,5.8593049717658054,0.0253695453821252,0.2949942682460833
Helsinki,20.0,25.0,24.2,14.1,7851,6.136566891691079,0.04621883554194808,0.2949942682460833
Helsinki,25.0,30.0,18.2,-15.7,7851,6.4046104530208465,0.04299865073237675,0.2949942682460833
Helsinki,30.0,35.0,24.1,13.2,7851,6.844956481127669,0.06930864577560127,0.2949942682460833
Helsinki,35.0,40.0,23.1,-2.5,7851,6.685491869400926,-0.018789861381616636,0.2949942682460833
Helsinki,40.0,42.195,10.8,0.1,7851,6.5430826439319185,-0.018266706969904265,0.2949942682460833
London,0.0,5.0,11.4,-23.9,273400,5.749135442574982,,0.3078346744696416
London,5.0,10.0,6.1,-8.6,273400,5.906125627895635,0.02538586891269536,0.3078346744696416
London,10.0,15.0,3.6,-2.7,273400,6.098299841502073,0.030602104817759046,0.3078346744696416
London,15.0,20.0,3.6,-1.5,273400,6.201613411363083,0.014135284502217021,0.3078346744696416
London,20.0,25.0,18.4,0.4,273400,6.471269507437211,0.03986685877023485,0.3078346744696416
London,25.0,30.0,19.5,13.4,273400,6.750374859790296,0.04450487230935939,0.3078346744696416
London,30.0,35.0,16.4,-7.6,273400,7.0824058156547185,0.050904317862019474,0.3078346744696416
London,35.0,40.0,21.2,-3.7,273400,7.076362338454036,0.006218564498180321,0.3078346744696416
London,40.0,42.195,4.3,-0.5,273400,6.854487154919158,-0.025194009558833646,0.3078346744696416
Madrid,0.0,5.0,83.8,71.7,103812,6.055790692148628,,0.38775864061958154
Madrid,5.0,10.0,6.2,-44.8,103812,5.2312199296163575,-0.11888588323546453,0.38775864061958154
Madrid,10.0,15.0,35.4,-21.6,103812,5.335303818441028,0.01987464656924906,0.38775864061958154
Madrid,15.0,20.0,20.0,-25.5,103812,5.452283294159956,0.021726536238386534,0.38775864061958154
Madrid,20.0,25.0,27.7,-69.5,103812,5.404331002196277,-0.009465398265649025,0.38775864061958154
Madrid,25.0,30.0,36.7,36.8,103812,5.98916101542532,0.10731280541209538,0.38775864061958154
Madrid,30.0,35.0,6.4,-41.5,103812,6.047032006575989,0.010866709318410831,0.38775864061958154
Madrid,35.0,40.0,45.9,41.5,103812,6.596288868338921,0.09151075141746336,0.38775864061958154
Madrid,40.0,42.195,25.8,24.6,103812,6.355226320132875,-0.030366173843157845,0.38775864061958154
New York,0.0,5.0,33.2,-16.8,284604,5.926257525075778,,0.3421455777150005
New York,5.0,10.0,27.5,-8.1,284604,5.933395794390335,0.0006035149565023074,0.3421455777150005
New York,10.0,15.0,21.2,-2.4,284604,6.062954830805845,0.021483950020986763,0.3421455777150005
New York,15.0,20.0,19.9,-4.1,284604,6.303475413791326,0.03664958131595095,0.3421455777150005
New York,20.0,25.0,7.5,-8.2,284604,6.726366284381105,0.06490553402693174,0.3421455777150005
New York,25.0,30.0,28.3,1.8,284604,6.675225447756649,-0.006020569312380965,0.3421455777150005
New York,30.0,35.0,18.5,3.8,284604,7.15212551475032,0.07308997344692679,0.3421455777150005
New York,35.0,40.0,45.4,13.6,284604,7.2456671960572105,0.019133888431132957,0.3421455777150005
New York,40.0,42.195,11.1,1.6,284604,6.880395306518001,-0.04588633178253763,0.3421455777150005
Oslo,0.0,5.0,44.7,39.3,8432,5.452279807084125,,0.3302893738140417
Oslo,5.0,10.0,3.9,-51.9,8432,5.22219797596458,-0.04190878053960296,0.3302893738140417
Oslo,10.0,15.0,22.4,16.1,8432,5.362653779253637,0.02710095763426578,0.3302893738140417
Oslo,15.0,20.0,26.4,6.1,8432,5.5047683428209995,0.025776929011056424,0.3302893738140417
Oslo,20.0,25.0,22.1,9.2,8432,5.491710942441492,-0.0028372211635123417,0.3302893738140417
Oslo,25.0,30.0,24.0,-25.1,8432,5.802964895635673,0.05445392271657616,0.3302893738140417
Oslo,30.0,35.0,10.7,-5.5,8432,6.097262017710309,0.05052330237029651,0.3302893738140417
Oslo,35.0,40.0,39.3,36.3,8432,6.2594595983554715,0.0365584144806096,0.3302893738140417
Oslo,40.0,42.195,0.0,-18.4,8432,6.3481400716653775,0.09590058713541527,0.3302893738140417
Paris,0.0,5.0,15.2,-0.0,100040,5.541763028122084,,0.33934426229508197
Paris,5.0,10.0,14.7,13.3,100040,5.560923730507797,0.003918938575119891,0.33934426229508197
Paris,10.0,15.0,14.2,-3.0,100040,5.61608599893376,0.009666479651701912,0.33934426229508197
Paris,15.0,20.0,18.3,-3.0,100040,5.665937691590031,0.007749545109668057,0.33934426229508197
Paris,20.0,25.0,8.4,-11.2,100040,5.796989970678395,0.02124746073660949,0.33934426229508197
Paris,25.0,30.0,30.8,1.9,100040,6.116480607756897,0.05369883733598071,0.33934426229508197
Paris,30.0,35.0,21.7,-1.9,100040,6.482924396907903,0.05930746756797097,0.33934426229508197
Paris,35.0,40.0,32.6,28.8,100040,6.748521158203385,0.04305917020380729,0.33934426229508197
Paris,40.0,42.195,2.0,-22.2,100040,6.242895097086451,-0.06517216449907898,0.33934426229508197
Prague,0.0,5.0,12.1,-6.7,12670,6.800573796369376,,0.43583267561168115
Prague,5.0,10.0,2.9,-7.1,12670,5.5668161010260455,-0.1620039290941921,0.43583267561168115
Prague,10.0,15.0,18.2,10.3,12670,5.658393054459353,0.016252214471679217,0.43583267561168115
Prague,15.0,20.0,9.0,-2.2,12670,5.756862404630359,0.01592003832475784,0.43583267561168115
Prague,20.0,25.0,1.1,-1.9,12670,5.909218363588529,0.025236373750760186,0.43583267561168115
Prague,25.0,30.0,4.9,-0.3,12670,6.260140226256248,0.06356172286456431,0.43583267561168115
Prague,30.0,35.0,11.9,-1.6,12670,6.644710076295711,0.06257849300227313,0.43583267561168115
Prague,35.0,40.0,3.8,-2.6,12670,7.097070507761115,0.0691648749662004,0.43583267561168115
Prague,40.0,42.195,11.1,9.5,12670,6.550987361556334,-0.06866858740669121,0.43583267561168115
Rotterdam,0.0,5.0,1.8,-5.0,139977,5.424506502258704,,0.3153732398894104
Rotterdam,5.0,10.0,1.3,-6.0,139977,5.380760482079198,-0.007639945212640294,0.3153732398894104
Rotterdam,10.0,15.0,5.8,3.6,139977,5.439810230728382,0.010617395841725528,0.3153732398894104
Rotterdam,15.0,20.0,1.3,-2.0,139977,5.504568441005785,0.011264753837138014,0.3153732398894104
Rotterdam,20.0,25.0,5.1,5.4,139977,5.688776037015604,0.031632590836411796,0.3153732398894104
Rotterdam,25.0,30.0,15.2,-3.1,139977,5.8622432732996606,0.029918774898430936,0.3153732398894104
Rotterdam,30.0,35.0,2.3,-4.6,139977,6.210513179546164,0.05731724472278656,0.3153732398894104
Rotterdam,35.0,40.0,8.3,4.5,139977,6.473444280131736,0.046430116625272896,0.3153732398894104
Rotterdam,40.0,42.195,13.8,7.1,139977,6.189645734672681,-0.03819493084926956,0.3153732398894104
Singapore,0.0,5.0,13.1,-10.0,8882,6.757606770246942,,0.47275388426030174
Singapore,5.0,10.0,48.5,9.0,8882,6.727922014561284,-0.003959336249969731,0.47275388426030174
Singapore,10.0,15.0,4.6,-6.7,8882,6.899409292201455,0.02493541299979049,0.47275388426030174
Singapore,15.0,20.0,2.2,2.3,8882,7.398997973429407,0.07122057444105413,0.47275388426030174
Singapore,20.0,25.0,5.5,-5.9,8882,7.610610222922765,0.025813129612863025,0.47275388426030174
Singapore,25.0,30.0,67.6,12.0,8882,8.080145988140808,0.06476971968754446,0.47275388426030174
Singapore,30.0,35.0,18.6,-3.1,8882,8.183673722134655,0.017794569387528044,0.47275388426030174
Singapore,35.0,40.0,16.0,-0.1,8882,8.651800270209414,0.06065595427889548,0.47275388426030174
Singapore,40.0,42.195,41.0,23.1,8882,8.014130085212397,-0.06750896952401772,0.47275388426030174
Stockholm,0.0,5.0,7.5,-18.4,9924,5.469285234448474,,0.14117291414752117
Stockholm,5.0,10.0,21.7,20.3,9924,5.544072618567782,0.013894499021755363,0.14117291414752117
Stockholm,10.0,15.0,8.9,-16.7,9924,5.423076044605669,-0.020713251010317964,0.14117291414752117
Stockholm,15.0,20.0,11.6,2.1,9924,5.498634623135832,0.013443116507435127,0.14117291414752117
Stockholm,20.0,25.0,29.4,19.8,9924,5.657434502216848,0.028793236942823604,0.14117291414752117
Stockholm,25.0,30.0,13.3,-20.1,9924,5.736957208115007,0.013243225204109437,0.14117291414752117
Stockholm,30.0,35.0,20.8,1.6,9924,6.045670764476689,0.05330124710438237,0.14117291414752117
Stockholm,35.0,40.0,16.6,4.3,9924,6.100690581754669,0.010114065344269417,0.14117291414752117
Stockholm,40.0,42.195,8.4,10.5,9924,6.013349902692506,-0.011330676520369084,0.14117291414752117
Sydney,0.0,5.0,44.5,-75.1,7073,5.494617088458457,,0.40803053866817474
Sydney,5.0,10.0,37.4,-2.2,7073,5.671510910033461,0.03206567872720705,0.40803053866817474
Sydney,10.0,15.0,70.8,36.0,7073,5.543661341250766,-0.022489773159541773,0.40803053866817474
Sydney,15.0,20.0,7.5,-20.2,7073,5.751146613883783,0.03727696027799049,0.40803053866817474
Sydney,20.0,25.0,3.9,-1.0,7073,5.790068806258542,0.006003140215467294,0.40803053866817474
Sydney,25.0,30.0,23.5,14.1,7073,6.22649182336585,0.07217030579467347,0.40803053866817474
Sydney,30.0,35.0,13.8,-1.9,7073,6.58402799377916,0.056192773496317655,0.40803053866817474
Sydney,35.0,40.0,21.1,-23.8,7073,7.069486780715397,0.13060828380680453,0.40803053866817474
Sydney,40.0,42.195,28.4,-6.2,7073,6.451907705959578,-0.07619357489332647,0.40803053866817474
Tokyo,0.0,5.0,27.2,-22.3,353,3.345703493862134,,0.031161473087818695
Tokyo,5.0,10.0,14.1,-6.1,353,3.340349386213409,-0.0013485307530590846,0.031161473087818695
Tokyo,10.0,15.0,11.7,-6.6,353,3.3595372993389994,0.005780620144531236,0.031161473087818695
Tokyo,15.0,20.0,15.6,-1.4,353,3.39109537299339,0.009413280596196968,0.031161473087818695
Tokyo,20.0,25.0,7.1,-0.1,353,3.377459867799811,-0.0038718838553966533,0.031161473087818695
Tokyo,25.0,30.0,12.7,8.2,353,3.4570632672332393,0.023788133975936935,0.031161473087818695
Tokyo,30.0,35.0,21.3,12.0,353,3.50042492917847,0.012796308901074931,0.031161473087818695
Tokyo,35.0,40.0,33.2,-9.2,353,3.6190462700661,0.03366058669151508,0.031161473087818695
Tokyo,40.0,42.195,19.2,5.1,353,3.66770559753582,0.013078353246918363,0.031161473087818695
Valencia,0.0,5.0,4.7,-4.5,70677,4.955604086194943,,0.20405506741938678
Valencia,5.0,10.0,10.5,4.5,70677,4.849154840565767,-0.019534186342791134,0.20405506741938678
Valencia,10.0,15.0,18.7,6.0,70677,4.8684906452358385,0.004113436219797149,0.20405506741938678
Valencia,15.0,20.0,3.8,-10.4,70677,4.883768316897058,0.002590913231694433,0.20405506741938678
Valencia,20.0,25.0,7.6,6.5,70677,4.983120204121096,0.019262597060594383,0.20405506741938678
Valencia,25.0,30.0,21.5,11.8,70677,5.140925902344468,0.029282894975684412,0.20405506741938678
Valencia,30.0,35.0,9.7,3.9,70677,5.420550485542209,0.051541435129032885,0.20405506741938678
Valencia,35.0,40.0,11.3,0.2,70677,5.538961189637365,0.022139086283014933,0.20405506741938678
Valencia,40.0,42.195,1.2,-17.0,70677,5.208242156621939,-0.05206818872655123,0.20405506741938678
