example_city,profile,target_base_pace_min_per_km,segment,seg_from_km,seg_to_km,avg_grade,mid_km,post20,gap_multiplier_full_model,gap_multiplier_grade_only_ols,recommended_observed_pace_even_effort,curve_version,note
Berlin,flat,4.5,30,25.0,30.0,-0.0001,27.5,1,1.063233,1.061146,4.784549,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,35,30.0,35.0,-0.0016,32.5,1,1.074517,1.056698,4.835324,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,40,35.0,40.0,0.0006,37.5,1,1.091641,1.063221,4.912385,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,42,40.0,42.195,-0.0022,41.0975,1,1.097043,1.054918,4.936694,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,05,0.0,5.0,-0.0034,2.5,0,0.975689,1.05136,4.390601,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,10,5.0,10.0,-0.0016,7.5,0,0.992182,1.056698,4.46482,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,15,10.0,15.0,-0.0005,12.5,0,1.00757,1.05996,4.534066,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,20,15.0,20.0,-0.0008,17.5,0,1.020748,1.05907,4.593366,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,25,20.0,25.0,-0.0016,22.5,1,1.047214,1.056698,4.712461,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,30,25.0,30.0,0.0004,27.5,1,1.064022,1.062628,4.788101,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,35,30.0,35.0,0.0008,32.5,1,1.078305,1.063814,4.852374,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,40,35.0,40.0,0.0027,37.5,1,1.094956,1.069449,4.927303,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
New York,hilly,4.5,42,40.0,42.195,0.0007,41.0975,1,1.101621,1.063518,4.957295,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
