city,year,n_ingested,n_sources_rows,has_5km_splits,corpus,timing_vendor,listed_hint_from_notes,missing_20km,incomplete,non_increasing,missing_age,sex_missing,notes
Chicago,2025,53739,1,yes,majors-current,mikatiming,,17,97,0,53739,204,Bank of America Chicago Marathon. 2025 is a year-specific portal; 1989–2024 live on results.chicagomarathon.com/2024/ and chicago-history.r.mikatiming.com/2024/ with a Year dropdown. | splits: html-detail (and official site states 5K splits on results); list is finish-oriented
Cologne,2016,5084,1,yes-per-paper,smyth-2021-original,,,5084,5084,0,35,0,
Cologne,2017,4502,1,yes-per-paper,smyth-2021-original,,,4502,4502,0,26,0,
Cologne,2018,4974,2,yes-per-paper | yes,smyth-2021-original | eu-mika-raceresult,raceresult,,4974,4974,1,4974,173,contest 1 marathon; has20=0 (HM not mapped); listed=jsonl=GET=4974
Cologne,2019,4759,2,yes-per-paper | yes,smyth-2021-original | eu-mika-raceresult,raceresult,,4759,4759,0,4759,379,contest 1 marathon; has20=0 (HM not mapped); listed=jsonl=GET=4759
Cologne,2022,2853,1,yes,eu-mika-raceresult,raceresult,,2853,2853,0,2853,1,contest 1 marathon; has20=0 (HM not mapped); listed=jsonl=GET=2853
Cologne,2023,3790,1,yes,eu-mika-raceresult,raceresult,,3790,3790,0,3790,0,contest 1 marathon; has20=0 (HM/21.097 not mapped to split_20km); listed=jsonl=GET
Cologne,2024,5694,1,yes,eu-mika-raceresult,raceresult,,5694,5694,0,5694,0,contest 1 marathon; has20=0 (HM/21.097 not mapped to split_20km); listed=jsonl=GET
Cologne,2025,7987,1,yes,post-2019-additive,raceresult,,7987,7987,0,7987,0,Lead stamp-reconcile 2026-09-10; API n≈7987
Copenhagen,2014,9622,1,yes-per-paper,smyth-2021-original,,,26,92,11,9622,0,
Copenhagen,2015,9219,1,yes-per-paper,smyth-2021-original,,,10,118,1,9219,0,
Copenhagen,2016,8370,1,yes-per-paper,smyth-2021-original,,,17,191,1,8370,0,
Copenhagen,2017,8154,1,yes-per-paper,smyth-2021-original,,,48,193,0,8154,0,
Copenhagen,2018,7413,1,yes-per-paper,smyth-2021-original,,,6,73,0,7413,0,
Copenhagen,2019,10806,1,yes-per-paper,smyth-2021-original,,,16,93,0,10806,10,
Copenhagen,2022,8497,1,yes,post-2019-additive,ultimate,,7,31,5,8497,3,
Copenhagen,2023,10164,1,yes,post-2019-additive,ultimate,,6,41,0,10164,6,
Copenhagen,2024,14585,1,yes,post-2019-additive,ultimate,,15,178,0,14585,16,
Copenhagen,2025,18554,1,yes,post-2019-additive,ultimate,,54,141,1,18554,4,
Copenhagen,2026,21652,1,yes,post-2019-additive,,,7,132,0,21652,19,Copenhagen Marathon 2026 UltimateLIVE scout-locked eventid=7143; distance=1 Marathon.
Dubai,2016,2030,1,yes-per-paper,smyth-2021-original,mikatiming,,3,169,19,269,0,
Dubai,2019,1824,1,yes,smyth-2021-original,mikatiming,,5,119,24,250,0,Verified 2026-08-30 ET. Mass Marathon event=M (not Elite). List ~12k All Main Events. 5/10/15/20/25/30/35/40/finish on html-detail Person Details. Sample AG30 Mohamed Shifaz bib 104. Export List incl. Splits. curl/AWS often 403; browser/WebFetch works. Pattern dubai.mikatiming.de/{year}/
Dubai,2020,1856,1,yes,post-2019-additive,mikatiming,,0,1,31,206,1,listed=jsonl=GET=1856 n_5km=1855. Spot Adugna Bikila Olika (ETH) 5km=884 finish=7575 M.
Dubai,2023,4139,1,yes,post-2019-additive,mikatiming,,9,385,22,527,0,Mass Event=M. Hub dubai.r.mikatiming.de/2023/. Person Details 5km confirmed. Ingest starting 2026-09-06 ET.
Dubai,2024,1483,1,yes,post-2019-additive,mikatiming,,7,236,5,195,0,Mass Event=M. Hub dubai.r.mikatiming.de/2024/. Person Details 5km Lead-confirmed (lock-post2019-dubai-2024-25-mass-idp). Ingest starting 2026-09-07 ET. Never dubai.mikatiming.de/2021|/2022|/2026.
Dubai,2025,1809,1,yes,post-2019-additive,mikatiming,,3,273,9,263,0,Mass Event=M. Hub dubai.r.mikatiming.de/2025/. Person Details 5km Lead-confirmed (lock-post2019-dubai-2024-25-mass-idp). Ingest starting 2026-09-07 ET. Never dubai.mikatiming.de/2021|/2022|/2026.
Eindhoven,2009,1407,1,yes-per-paper,smyth-2021-original,,,1407,1407,0,1407,0,
Eindhoven,2010,1462,1,yes-per-paper,smyth-2021-original,,,1462,1462,0,1462,0,
Eindhoven,2011,1276,1,yes-per-paper,smyth-2021-original,,,1,6,4,1276,0,
Eindhoven,2012,1277,1,yes-per-paper,smyth-2021-original,,,0,6,10,1277,0,
Eindhoven,2013,1416,1,yes-per-paper,smyth-2021-original,,,66,132,13,1416,0,
Eindhoven,2014,1315,1,yes-per-paper,smyth-2021-original,,,25,90,89,1315,0,
Eindhoven,2015,2022,1,yes-per-paper,smyth-2021-original,,,20,183,0,2022,0,
Eindhoven,2016,2149,1,yes-per-paper,smyth-2021-original,,,5,26,0,2149,0,
Eindhoven,2018,2079,1,yes-per-paper,smyth-2021-original,,,9,66,0,2079,0,
Eindhoven,2019,2423,1,yes-per-paper,smyth-2021-original,,,4,37,0,2423,0,
Eindhoven,2021,1525,1,yes,,sporthive,,12,148,0,1525,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=6850745558983373568 race=6850745563278341888. last_ingested blank until listed=jsonl=GET."
Eindhoven,2022,2496,1,yes,,sporthive,,9,37,0,2496,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=6980431079001150208 race=6980431079001151232. last_ingested blank until listed=jsonl=GET."
Eindhoven,2023,2888,1,yes,,sporthive,,3,22,0,2888,3,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=7115376606087550464 race=7115376610382518272. last_ingested blank until listed=jsonl=GET."
Eindhoven,2024,4762,1,yes,,sporthive,,7,34,0,4762,5,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=7249382119669006336 race=7249382123963974144. last_ingested blank until listed=jsonl=GET."
Frankfurt,2019,12513,1,yes-per-paper,smyth-2021-original,,,15,1889,0,3024,0,
Frankfurt,2022,6762,1,yes,post-2019,mikatiming,,10,33,0,900,0,Lead stamp listed=jsonl=GET=6762 event=L_HCH3BKLB32C (not 3B8 year-bleed)
Gold Coast,2016,6214,1,yes-per-paper,smyth-2021-original,,,790,877,0,6214,0,
Gold Coast,2017,5911,1,yes-per-paper,smyth-2021-original,,,711,778,18,5911,0,
Gold Coast,2018,6709,1,yes-per-paper,smyth-2021-original,,,856,993,0,6709,0,
Gold Coast,2019,6613,1,yes,post-2019-additive,timingsports,,866,992,0,6613,0,Scout-locked 2026-09-10: M05K + /view 5KM. Proof bib 03000 5KM 00:31:39.
Gold Coast,2022,4916,1,yes,post-2019-additive,timingsports,,884,950,6,4916,0,
Gold Coast,2023,6715,1,yes,post-2019-additive,timingsports,,783,901,2,6715,0,
Gold Coast,2024,9905,1,yes,post-2019-additive,timingsports,,1537,4205,10,9905,6,
Hamburg,2013,11443,1,yes-per-paper,smyth-2021-original,,,22,85,0,11443,0,
Hamburg,2014,12868,1,yes-per-paper,smyth-2021-original,,,32,61,0,12868,0,
Hamburg,2015,14766,1,yes-per-paper,smyth-2021-original,,,44,101,0,14766,0,
Hamburg,2016,12073,1,yes-per-paper,smyth-2021-original,,,11,53,0,12073,0,
Hamburg,2017,11932,1,yes-per-paper,smyth-2021-original,,,18,47,0,11932,0,
Hamburg,2018,10014,1,yes-per-paper,smyth-2021-original,,,14,57,0,10014,0,
Hamburg,2019,10097,1,yes-per-paper,smyth-2021-original,,,44,87,0,10097,0,
Hamburg,2022,5500,1,yes,post-2019,mikatiming,,9,39,0,5500,0,Lead POST from jsonl 5500; listed≈jsonl≈GET=5500; event=HML; sex M4276+W1224
Hamburg,2023,8634,1,yes,post-2019,mikatiming,,5,288,0,8634,0,EU Mika POST listed=jsonl=8635 GET=8634 (unique); event=HML; sex M6594+W2041; n_with_full_splits=8346; Lead stamp after writer skip auto-PATCH
Hamburg,2024,11264,1,yes,post-2019-additive,mikatiming,,38,780,0,11264,0,
Hamburg,2025,10904,1,yes,post-2019-additive,mikatiming,,46,307,0,10904,0,
Helsinki,2015,3540,1,yes-per-paper,smyth-2021-original,,,53,184,0,3540,0,
Helsinki,2016,2718,1,yes-per-paper,smyth-2021-original,,,0,2,1,2718,2,
Helsinki,2017,2230,1,yes-per-paper,smyth-2021-original,,,28,448,3,2230,0,
Helsinki,2024,1421,1,yes,post-2019-additive,UltimateLIVE / Ultimate Sport Service,,1421,1421,0,1421,1,"Helsinki Marathon 2024 UltimateLIVE eventid=6369 distance=1. Literal 5 km. FLAG no 20km (21.1/21,1/21.0975 is half — never invent). Never eventid 5587. No Chrome."
Helsinki,2025,2279,1,yes,post-2019-additive,UltimateLIVE / Ultimate Sport Service,,2279,2279,0,2279,4,"Helsinki Marathon 2025 UltimateLIVE eventid=6969 distance=1. Literal 5 km. FLAG no 20km (21.1/21,1/21.0975 is half — never invent). Never eventid 5587. No Chrome."
Helsinki,2026,2633,1,yes,post-2019-additive,UltimateLIVE / Ultimate Sport Service,,2633,2633,0,2633,1,"Helsinki Marathon 2026 UltimateLIVE eventid=7623 distance=1. Literal 5 km. FLAG no 20km (21.1/21,1/21.0975 is half — never invent). Never eventid 5587. No Chrome."
Honolulu,2016,20118,1,yes-per-paper,smyth-2021-original,,,20118,20118,37,20118,20118,
Honolulu,2021,6409,1,yes,post-2019-additive,sportstats / PSE,,6409,6409,104,6409,9,Sportstats rid=114569. 5K confirmed in splitConfig. Mass via getsortedresults.
Honolulu,2022,14759,1,yes,post-2019-additive,sportstats / PSE,,14759,14759,833,14759,0,Sportstats rid=140524. 5K confirmed in splitConfig. Mass via getsortedresults.
Honolulu,2023,15649,1,yes,post-2019-additive,sportstats / PSE,,15649,15649,462,15649,11,Sportstats rid=130133. 5K confirmed in splitConfig. Mass via getsortedresults.
Honolulu,2024,18984,1,yes,post-2019-additive,sportstats / PSE,,18984,18984,445,18984,34,Sportstats rid=142773. 5K confirmed in splitConfig. Mass via getsortedresults.
Honolulu,2025,23497,1,yes,post-2019-additive,sportstats / PSE,,23497,23497,739,23497,39,Sportstats rid=145511. 5K confirmed in splitConfig. Mass via getsortedresults.
London,2015,1200,1,yes-per-paper,smyth-2021-original,,,1200,1200,0,1200,0,
London,2016,909,1,yes-per-paper,smyth-2021-original,,,909,909,0,909,0,
London,2017,1520,1,yes-per-paper,smyth-2021-original,,,1520,1520,0,1520,0,
London,2018,33995,1,yes-per-paper,smyth-2021-original,,,33995,33995,0,33995,2,
London,2019,42612,1,yes-per-paper,smyth-2021-original,,,142,826,0,42612,0,
London,2021,22226,1,yes,majors-current,mikatiming,,31,284,1,22226,0,
London,2022,31145,1,yes,majors-current,mikatiming,,56,239,1,31145,0,Start when Berlin SCC 2011 finishes unless CHI2023 HTTP 200
London,2023,34064,1,yes,majors-current,mikatiming,,52,660,0,34064,3056,Lead SPEED: start as third writer when CPH stamps. TCS browser-UA.
London,2024,46567,1,yes,majors-current,mikatiming,,57,379,1,46567,40,splits: html-detail
London,2025,55047,1,yes,majors-current,mikatiming,,140,1136,0,55047,3949,splits: html-detail
London,2026,59519,1,yes,majors-current,mikatiming,,322,2668,1,59519,4071,"TCS London Marathon. Event dropdown: Mass, Elite, Wheelchair, Para Ambulatory, Virtual. | splits: html-detail (individual runner page); official 5km mats, not mile markers"
Madrid,2013,10164,1,yes-per-paper,smyth-2021-original,,,45,2591,0,10164,0,
Madrid,2014,11054,1,yes-per-paper,smyth-2021-original,,,70,5176,4,11054,0,
Madrid,2015,11728,1,yes-per-paper,smyth-2021-original,,,28,210,0,11728,0,
Madrid,2016,10083,1,yes-per-paper,smyth-2021-original,,,13,325,0,10083,0,
Madrid,2017,10036,1,yes-per-paper,smyth-2021-original,,,16,254,0,10036,0,
Madrid,2018,8808,1,yes-per-paper,smyth-2021-original,,,232,495,0,8808,0,
Madrid,2019,7864,1,yes-per-paper,smyth-2021-original,,,13,186,0,7864,0,
Madrid,2021,3833,1,yes,post-2019-additive,resultadoscarreras,,608,828,0,3833,0,LOCK 2026-09-03 5km-yes Maraton only. car=96 eve=1. Km 21.097 half unmapped. last_ingested wait listed=jsonl=GET.
Madrid,2022,6290,1,yes,post-2019-additive,sporthive,,519,2136,0,6290,0,LOCK 2026-09-03 5km-yes Maraton only. event 6922472217413435904 races/481847. Km 21.097 half unmapped. last_ingested wait listed=jsonl=GET.
Madrid,2023,7405,1,yes,post-2019-additive,sporthive,,90,489,0,7405,0,LOCK 2026-09-03 5km-yes Maraton only. event 7053750963571596288 races/485530. Km 21.097 half unmapped. last_ingested wait listed=jsonl=GET.
Madrid,2024,9129,1,yes,post-2019-additive,sporthive,,40,632,0,9129,1,LOCK 2026-09-03 5km-yes Maraton only. event 7180618688493574912 races/489022. Km 21.097 half unmapped. last_ingested wait listed=jsonl=GET.
Madrid,2025,11464,1,yes,post-2019-additive,sporthive,,842,1546,0,11464,0,LOCK 2026-09-03 5km-yes Maraton only. event 7318184016761806336 races/493224. Km 21.097 half unmapped. last_ingested wait listed=jsonl=GET.
Madrid,2026,12208,1,yes,post-2019-additive,sporthive,,189,1382,0,12208,0,Scout-locked 2026 Maratón race UUID 2f95cc6e; NOT Media; Half≠20km; n≈12897
Melbourne,2015,502,1,yes-per-paper,smyth-2021-original,,,4,85,1,502,25,
Mexico City,2024,20571,1,yes,post-2019-additive,marcate,,20571,20571,7,20571,0,"OFFICIAL 2024 (not extra-oficiales). FLAG no 20km. RESULTADOS OFICIALES XLI MARATÓN DE LA CIUDAD DE MÉXICO TELCEL 2024. Intermedios has 21K (half), not 20K; split_20km always null. Event SPTMCAR1708028995. Did not copy 2025 unofficial flag. Skip 2026."
Mexico City,2025,22574,1,yes,post-2019-additive,marcate,,22574,22574,5,22574,0,"FLAG extra-oficiales. FLAG no 20km. RESULTADOS EXTRA OFICIALES XLII MARATÓN DE LA CIUDAD DE MÉXICO TELCEL 2025. Intermedios has 21K (half), not 20K; split_20km always null. Event SPTMCAR1738126024. Did not invent unofficial record field."
Mexico City,2026,21823,1,yes,post-2019-additive,marcate,,21823,21823,2,21823,0,"FLAG extra-oficiales. FLAG no 20km. RESULTADOS EXTRA OFICIALES - XLIII MARATÓN DE LA CIUDAD DE MÉXICO TELCEL 2026. Intermedios has 21K (half), not 20K; split_20km always null. Event SPTMCAR1770827883. Did not invent unofficial record field."
New York,2006,37767,1,yes-per-paper,smyth-2021-original,,,102,1301,316,1,1,
New York,2007,38462,1,yes-per-paper,smyth-2021-original,,,61,12724,7624,1,1,
New York,2008,38047,1,yes-per-paper,smyth-2021-original,,,28,642,6,0,0,
New York,2009,43086,1,yes-per-paper,smyth-2021-original,,,96,707,9,2,2,
New York,2010,44646,1,yes-per-paper,smyth-2021-original,,,225,776,3,2,2,
New York,2011,46741,1,yes-per-paper,smyth-2021-original,,,132,783,2,1,1,
New York,2013,50035,1,yes-per-paper,smyth-2021-original,,,119,1444,0,2,2,
New York,2014,47588,1,yes-per-paper,smyth-2021-original,,,353,4779,0,2,2,
New York,2015,49430,1,yes-per-paper,smyth-2021-original,,,131,695,0,0,0,
New York,2016,51234,1,yes-per-paper,smyth-2021-original,,,125,661,0,1,1,
New York,2017,50607,1,yes-per-paper,smyth-2021-original,,,744,1241,0,1,1,
New York,2018,52656,1,yes-per-paper,smyth-2021-original,,,261,705,0,3,3,
New York,2019,53483,1,yes-per-paper,smyth-2021-original,,,168,714,2,3,3,
New York,2021,24938,1,yes,majors-current,chronotrack,,14,308,0,2,17,TCS NYC Marathon 2021. Event M2021. 5km via resultDetails. Race date 2021-11-07.
New York,2022,47710,1,yes,majors-current,chronotrack,,65,713,0,11,57,TCS NYC Marathon 2022. Event M2022. 5km via resultDetails. Race date 2022-11-06.
New York,2023,51225,1,yes,majors-current,chronotrack,,217,750,0,12,104,splits: html-detail
New York,2024,55493,1,yes,majors-current,chronotrack,,69,404,0,15,133,splits: html-detail
New York,2025,59103,1,yes,majors-current,chronotrack,,174,722,0,19,157,"TCS New York City Marathon. Results hosted by NYRR; timing hardware ChronoTrack. Event code M{YYYY}. TAG Heuer named official timekeeper from mid-2025 (branding, not the results host). | splits: html-detail (every 5K + half + extra mile checkpoints); list/finishers is finish-oriented"
Oslo,2016,2404,1,yes,post-2019-additive,ultimate,,0,20,5,2404,0,
Oslo,2017,2237,1,yes-per-paper,smyth-2021-original,,,0,173,20,2237,0,
Oslo,2018,2235,1,yes-per-paper,smyth-2021-original,,,3,28,8,2235,0,
Oslo,2022,1815,1,yes,post-2019-additive,ultimate,,4,20,10,1815,0,Oslo Marathon 2022 UltimateLIVE scout-locked eventid; distance=1 Marathon.
Oslo,2023,2547,1,yes,post-2019-additive,ultimate,,5,57,11,2547,4,Oslo Marathon 2023 UltimateLIVE scout-locked eventid; distance=1 Marathon.
Oslo,2024,4018,1,yes,post-2019-additive,ultimate,,1,60,3,4018,3,Oslo Marathon 2024 UltimateLIVE scout-locked eventid; distance=1 Marathon.
Oslo,2025,4185,1,yes,post-2019-additive,ultimate,,6,67,14,4185,1,Oslo Marathon 2025 UltimateLIVE scout-locked eventid; distance=1 Marathon.
Paris,2014,38672,1,yes-per-paper,smyth-2021-original,active,,15,70,38659,0,0,
Paris,2015,40261,1,yes-per-paper,smyth-2021-original,active,,249,460,40200,0,0,
Paris,2016,41795,1,yes-per-paper,smyth-2021-original,active,,282,391,41742,0,0,
Paris,2017,41734,1,yes-per-paper,smyth-2021-original,active,,5,62,41729,0,0,
Paris,2018,42522,1,yes-per-paper,smyth-2021-original,active,,305,441,42466,0,0,
Paris,2019,47495,1,yes-per-paper,smyth-2021-original,active,,181,546,25,0,0,
Paris,2024,53899,1,yes,post-2019-additive,active,,234,783,0,0,0,Schneider Electric Marathon de Paris 2024. Active event id 92772. 5km-yes. Route 177244 Running|42.195. KM21 ignored. split_finish from chipTimeResult. Do not PATCH source 196 (2019).
Prague,2016,5774,1,yes-per-paper,smyth-2021-original,,,15,40,0,5774,1,
Prague,2017,6509,1,yes-per-paper,smyth-2021-original,,,16,54,0,6509,0,
Prague,2018,6950,1,yes-per-paper,smyth-2021-original,,,3,14,0,6950,0,
Prague,2019,7298,1,,,runczech,,17,50,2,7298,0,MAX DATA Lead; filter_race=22167 mass (not 22168 2Run); listed~7299; 5km-yes; 20km present; proof result_id=461173
Prague,2022,4612,1,yes,post-2019-additive,runczech,,4612,4612,0,4612,0,Prague 2022 mass 42.195 from weekend index; FLAG no 20km (half≠20). filter_race discovered at runtime.
Prague,2023,5466,1,yes,post-2019-additive,runczech,,5466,5466,0,5466,0,Prague 2023 mass filter_race=24851; NOT 24852 2Run. FLAG no 20km (half≠20).
Prague,2024,6018,1,yes,post-2019-additive,runczech,,6018,6018,0,6018,0,Prague 2024 mass filter_race=24943; NOT 24944 2Run. FLAG no 20km.
Prague,2026,9076,1,yes,post-2019-additive,runczech,,9076,9076,0,9073,0,Prague 2026 mass filter_race=59723 Vodafone; NOT 2Run. FLAG no 20km.
Rotterdam,2012,7542,1,yes-per-paper,smyth-2021-original,,,69,7542,28,7542,0,
Rotterdam,2013,8341,1,yes-per-paper,smyth-2021-original,,,5,60,0,8341,0,
Rotterdam,2014,10677,1,yes-per-paper,smyth-2021-original,,,18,62,0,10677,0,
Rotterdam,2015,11882,1,yes-per-paper,smyth-2021-original,,,31,122,0,11882,0,
Rotterdam,2016,12813,1,yes-per-paper,smyth-2021-original,,,12,72,0,12813,0,
Rotterdam,2017,13137,1,yes-per-paper,smyth-2021-original,,,82,431,4,13137,0,
Rotterdam,2018,13995,1,yes-per-paper,smyth-2021-original,,,39,201,0,13995,0,
Rotterdam,2019,14557,1,yes-per-paper,smyth-2021-original,,,82,280,0,14557,0,
Rotterdam,2021,10865,1,yes,,sporthive,,57,232,0,10865,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=6855879561074155264 race=6855879561074155776. last_ingested blank until listed=jsonl=GET."
